**************************************************************************************************************************************************

Density=        0.0 g/cc;
Temperature(eV)        Pressure(Mbar)        Energy(eV/atom)
--------------------------------------------------------------------------------------------------------------------------------------------------


0.0                    0.0                    0.0                    
8.617328154319113e-05  0.0                    0.0                    
0.00027250576822403325 0.0                    0.0                    
0.0008617328154319115  0.0                    0.0                    
0.0027250404475840243  0.0                    0.0                    
0.008617328154319115   0.0                    0.0                    
0.01365754307048328    0.0                    0.0                    
0.021645745948240015   0.0                    0.0                    
0.0343062038299715     0.0                    0.0                    
0.05437166105463172    0.0                    0.0                    
0.08617328154319114    0.0                    0.0                    
0.13657544793948914    0.0                    0.0                    
0.216457502569041      0.0                    0.0                    
0.34306202106505873    0.0                    0.0                    
0.543716670867614      0.0                    0.0                    
0.8617328154319113     0.0                    0.0                    
0.9668801265023774     0.0                    0.0                    
1.084857320743417      0.0                    0.0                    
1.2172300029514351     0.0                    0.0                    
1.3657545310988601     0.0                    0.0                    
1.5324017915425237     0.0                    0.0                    
1.7193829993041505     0.0                    0.0                    
1.9291794278524972     0.0                    0.0                    
2.1645748791958317     0.0                    0.0                    
2.428692953826201      0.0                    0.0                    
2.7250379916455003     0.0                    0.0                    
3.057542811963437      0.0                    0.0                    
3.4306195988202868     0.0                    0.0                    
3.849218438497052      0.0                    0.0                    
4.3188941210433        0.0                    0.0                    
4.845878749884205      0.0                    0.0                    
5.437165140322419      0.0                    0.0                    
6.100599093887944      0.0                    0.0                    
6.844986115330011      0.0                    0.0                    
7.680200447670198      0.0                    0.0                    
8.617328154319113      0.0                    0.0                    
9.668801075442556      0.0                    0.0                    
10.848573888203093     0.0                    0.0                    
12.172299167781533     0.0                    0.0                    
13.657545491952494     0.0                    0.0                    
15.324016924432495     0.0                    0.0                    
17.193829027900758     0.0                    0.0                    
19.291794312994284     0.0                    0.0                    
21.645749446875246     0.0                    0.0                    
24.286929555496673     0.0                    0.0                    
27.250380243913476     0.0                    0.0                    
30.57543017055847      0.0                    0.0                    
34.306197366975375     0.0                    0.0                    
38.492183006198005     0.0                    0.0                    
43.188939228447516     0.0                    0.0                    
48.45878547376993      0.0                    0.0                    
54.371651360137534     0.0                    0.0                    
61.005992274565315     0.0                    0.0                    
68.44986115330013      0.0                    0.0                    
76.80200719116034      0.0                    0.0                    
86.17328154319112      0.0                    0.0                    
96.688016097169        0.0                    0.0                    
108.48574155340268     0.0                    0.0                    
121.72300244947556     0.0                    0.0                    
136.5754522481532      0.0                    0.0                    
153.24016924432496     0.0                    0.0                    
171.938295621751       0.0                    0.0                    
192.9179565729748      0.0                    0.0                    
216.4574810257206      0.0                    0.0                    
242.86929021222326     0.0                    0.0                    
272.50380778187815     0.0                    0.0                    
305.7542855050078      0.0                    0.0                    
343.0619736697539      0.0                    0.0                    
384.9218300619801      0.0                    0.0                    
431.8894138277957      0.0                    0.0                    
484.5878655093594      0.0                    0.0                    
543.7164812863948      0.0                    0.0                    
610.0599550606338      0.0                    0.0                    
684.4985899896809      0.0                    0.0                    
768.0200611399433      0.0                    0.0                    
861.7328154319114      0.0                    0.0                    
1004.7066984646078     0.0                    0.0                    
1171.4020177473872     0.0                    0.0                    
1365.75439322161       0.0                    0.0                    
1592.3528106492943     0.0                    0.0                    
1856.5469935219237     0.0                    0.0                    
2164.5749395171283     0.0                    0.0                    
2523.7089842109012     0.0                    0.0                    
2942.428750853654      0.0                    0.0                    
3430.620038304024      0.0                    0.0                    
3999.809384701227      0.0                    0.0                    
4663.43534095536       0.0                    0.0                    
5437.16662250286       0.0                    0.0                    
6339.270586258377      0.0                    0.0                    
7391.045820488129      0.0                    0.0                    
8617.328154319113      0.0                    0.0                    
11129.707420165842     0.0                    0.0                    
14374.570609309729     0.0                    0.0                    
18565.470969298618     0.0                    0.0                    
23978.229871537183     0.0                    0.0                    
30969.07249542743      0.0                    0.0                    
39998.096604557286     0.0                    0.0                    
51659.52833054348      0.0                    0.0                    
66720.84760039728      0.0                    0.0                    
86173.28154319114      0.0                    0.0                    
**************************************************************************************************************************************************

Density=        1.5848932000000002e-06 g/cc;
Temperature(eV)        Pressure(Mbar)        Energy(eV/atom)
--------------------------------------------------------------------------------------------------------------------------------------------------


0.0                    0.0                    0.0                    
8.617328154319113e-05  3.3450418129854497e-11 -15.864730644226075    
0.00027250576822403325 8.978848914376059e-11  -15.853478145599365    
0.0008617328154319115  2.4550366878317574e-10 -15.836151885986329    
0.0027250404475840243  7.377384592111014e-10  -15.825191688537597    
0.008617328154319115   2.213675154294492e-09  -15.792423534393311    
0.01365754307048328    3.592461816914749e-09  -15.76316785812378     
0.021645745948240015   5.914715850430241e-09  -15.723717308044433    
0.0343062038299715     9.846885618003398e-09  -15.672147369384765    
0.05437166105463172    1.611601270212759e-08  -15.608234024047851    
0.08617328154319114    2.5353473986911013e-08 -15.501639461517334    
0.13657544793948914    3.957872145576857e-08  -15.290509605407715    
0.216457502569041      6.340529168369358e-08  -14.86620054244995     
0.34306202106505873    1.0216224026748932e-07 -14.052914142608643    
0.543716670867614      1.7105231933101095e-07 -12.659924221038818    
0.8617328154319113     3.0228328995463016e-07 -10.50317096710205     
0.9668801265023774     3.492526104764693e-07  -9.762815952301025     
1.084857320743417      4.055063357100153e-07  -8.884253215789794     
1.2172300029514351     4.726755435058294e-07  -7.8841657638549805    
1.3657545310988601     5.526626296159521e-07  -6.752830982208252     
1.5324017915425237     6.433235228087142e-07  -5.48797025680542      
1.7193829993041505     7.456853097664861e-07  -4.076196002960205     
1.9291794278524972     8.593327208927803e-07  -2.538887596130371     
2.1645748791958317     9.86188513252273e-07   -0.8226453781127929    
2.428692953826201      1.1281352271907963e-06 1.1029318809509276     
2.7250379916455003     1.289776520252417e-06  3.2583640098571776     
3.057542811963437      1.473235658977501e-06  5.629513740539551      
3.4306195988202868     1.6784439139883035e-06 8.15632438659668       
3.849218438497052      1.911142226163065e-06  10.780436897277832     
4.3188941210433        2.30858983059079e-06   13.43854217529297      
4.845878749884205      2.796287208184367e-06  16.38509330749512      
5.437165140322419      3.4069727689711725e-06 19.65966930389404      
6.100599093887944      3.9850513530836905e-06 23.348179244995116     
6.844986115330011      4.56531831787288e-06   27.395222473144532     
7.680200447670198      5.135930041433312e-06  31.655973815917967     
8.617328154319113      5.770634652435547e-06  36.33768882751465      
9.668801075442556      6.493341834357124e-06  41.554642868041995     
10.848573888203093     7.326797731366241e-06  47.422310256958006     
12.172299167781533     8.302834430651274e-06  53.96953926086426      
13.657545491952494     9.424805102753454e-06  61.20655708312988      
15.324016924432495     1.070121497832588e-05  69.1127555847168       
17.193829027900758     1.2153691477578831e-05 77.80599060058594      
